20.04.2023;13:57:44:000;13:59:24:0000;Indoor;50;sunny;N/A;N/A
1;2807177;68
2;2786431;88
3;2758031;93
4;2714323;109
5;2647754;120
6;2543218;140
7;2362142;181
8;1985690;245
9;711210;364
10;33334;345
11;17724;355
12;9265;351
13;5136;360
14;2114;341
15;1007;357
16;402;363
17;302;361
18;302;356
19;201;356
20;201;365
21;201;358
22;201;359
23;201;359
24;201;369
25;201;358
26;302;343
27;201;368
28;201;366
29;201;354
30;201;363
31;201;342
32;201;370
33;201;354
34;201;367
35;201;357
36;201;374
37;302;347
38;302;359
39;201;368
0;2804156;62
1;2806069;52
2;2786733;63
3;2758132;69
4;2714424;96
5;2646948;124
6;2542009;146
7;2361840;191
8;1985690;244
9;709196;369
10;33435;371
11;16919;349
12;9970;349
13;5136;360
14;2114;369
15;1007;361
16;503;358
17;302;364
18;302;349
19;201;343
20;201;370
21;201;361
22;201;371
23;201;356
24;201;359
25;201;349
26;201;361
27;201;368
28;302;355
29;201;367
30;201;370
31;201;347
32;201;348
33;201;364
34;201;359
35;201;366
36;302;372
37;201;357
38;201;360
39;201;377
0;2804055;70
1;2806271;86
2;2786028;62
3;2757225;83
4;2713417;93
5;2646948;117
6;2541707;137
7;2360027;190
8;1984783;260
9;710807;372
10;33334;348
11;17422;363
12;9265;360
13;4632;370
14;1913;358
15;805;356
16;503;363
17;201;347
18;201;366
19;302;372
20;201;350
21;201;362
22;201;362
23;201;358
24;201;359
25;201;362
26;201;352
27;201;354
28;201;356
29;201;359
30;201;368
31;201;353
32;201;367
33;201;358
34;302;380
35;302;349
36;201;366
37;201;357
38;302;371
39;201;370
0;2804055;65
1;2806372;61
2;2786028;75
3;2757024;78
4;2713618;97
5;2647351;120
6;2541203;149
7;2361034;184
8;1984280;249
9;709095;369
10;33435;349
11;17624;370
12;9668;362
13;5035;369
14;2316;342
15;1007;376
16;503;346
17;402;352
18;302;364
19;201;353
20;201;363
21;201;376
22;201;355
23;201;364
24;201;356
25;201;357
26;302;354
27;201;360
28;302;371
29;201;331
30;201;337
31;201;383
32;201;348
33;201;363
34;201;376
35;201;377
36;201;361
37;302;349
38;201;377
39;201;370
0;2803149;62
1;2805365;69
2;2785122;70
3;2756520;93
4;2713115;95
5;2646445;117
6;2540096;138
7;2359322;187
8;1982870;267
9;704161;364
10;32730;358
11;17019;357
12;9668;375
13;4733;341
14;2215;352
15;906;366
16;604;350
17;402;364
18;201;368
19;201;361
20;201;351
21;201;378
22;201;361
23;201;365
24;201;360
25;302;344
26;201;351
27;201;349
28;201;357
29;201;351
30;201;376
31;201;374
32;201;364
33;201;369
34;201;353
35;201;374
36;201;368
37;302;376
38;201;364
39;201;350
0;2802545;68
1;2804559;64
2;2784518;78
3;2756319;69
4;2711503;102
5;2645841;120
6;2539189;151
7;2358113;184
8;1979949;253
9;699528;358
10;32932;356
11;17221;369
12;10171;375
13;4934;351
14;2215;359
15;1208;355
16;604;364
17;201;376
18;302;367
19;201;348
20;201;366
21;201;380
22;201;351
23;201;338
24;201;364
25;201;362
26;201;353
27;201;358
28;201;360
29;201;374
30;201;365
31;302;340
32;201;346
33;201;351
34;201;355
35;201;350
36;201;370
37;201;363
38;302;365
39;201;359
0;2801739;78
1;2804156;64
2;2784719;70
3;2755916;78
4;2711403;86
5;2644632;113
6;2539189;138
7;2358214;195
8;1978640;256
9;694895;367
10;33234;357
11;17322;357
12;9869;347
13;4834;363
14;2517;361
15;1007;361
16;503;364
17;302;334
18;302;360
19;201;340
20;201;347
21;201;371
22;201;348
23;201;354
24;201;356
25;201;359
26;201;377
27;201;353
28;201;340
29;201;358
30;201;361
31;201;354
32;201;373
33;201;377
34;302;367
35;201;376
36;201;345
37;201;362
38;201;360
39;201;363
0;2801235;69
1;2803552;60
2;2783511;59
3;2754808;68
4;2711000;86
5;2644531;101
6;2538182;132
7;2357106;201
8;1978539;254
9;684824;378
10;33536;357
11;17624;363
12;9970;348
13;5035;366
14;2517;349
15;805;361
16;503;361
17;402;363
18;201;345
19;201;364
20;201;375
21;201;370
22;201;359
23;201;360
24;201;356
25;201;356
26;302;339
27;201;351
28;201;348
29;201;357
30;201;342
31;201;350
32;201;361
33;302;375
34;201;376
35;302;377
36;201;370
37;201;352
38;201;345
39;201;361
0;2800530;57
1;2802948;70
2;2782806;60
3;2754103;65
4;2710597;89
5;2643826;100
6;2537679;143
7;2356200;212
8;1975115;241
9;684824;369
10;32932;355
11;16919;362
12;9265;356
13;5136;371
14;2417;358
15;906;358
16;503;354
17;201;346
18;402;347
19;201;354
20;201;346
21;201;363
22;201;366
23;201;354
24;201;356
